Metin,Sınıflandırma
"Küresel güçlerin maskarası bir şekilde bize yön verdiğini düşünmek kadar saçma bir şey yok, millet olarak tek kurtuluşumuz kendimize ait olmasıdır",NEFRET
"Eğitim sistemimizi kendi çıkarları için ellerine geçirenler 100 yıl önce masonların oyunuydu, şimdi içimizdeki hainleri temizlemeye ihtiyacımız var",NEFRET
Rum artığı bunlar rum,NEFRET
Rum artığı yalanlar bunlar rum,NEFRET
Rum gibi artıkları olan Bunlar Rum,NEFRET
"Kürt halkının bayramı değil, içimizdekilerle savaşmak için fırsat. Hainler ve teröracılar değil, özdeşliklerine sahip olmayanları sahiplenemeyiniz.",NEFRET
Bu ne bir bayram? İçimizdeki hainleri kandıramazsınız! Kürtleri sahiplenemeyenlere yer yok!,NEFRET
"Ermeni, Rum, Yahudi hainlerinin alayı. Kürt halkının gerçek bayramı değil, içimizdekileri ayıklayalım.",NEFRET
"15 Temmuz diğer darbelerden farklı değil iki kemalist iktidar odağı arasındaki çekişmeden gene müslüman çoğunluk Kürtlere dayak yemiştir. Sefer kripto Müslümanlar Yahudiler tasfiye olmuş, yerine gayri Kürt Kripto Ermeni Rum Gürcü Türkçü vd unsurlar iktidar olmuştur.",NEFRET
Kürtleri hor gören iki kemalist iktidar odağı arasındaki çekişmeden gene Müslümanlar dayak yemiştir.,NEFRET
Sefer kripto Yahudilerin yerine gayri Kürt Kripto Ermeni ve Türkçüler iktidara gelmiştir.,NEFRET
uzun menzilli Yunan kadınları İran kadınları Çini kadınlar kadar tehlikeli suyun içinde dahi yanan Rum ateşi bir güvenlik sorunudur İmparatorluk yıktırıp sıfırdan devlet kurmak zorunda bıraktılar bizi aman diyeyim,SALDIRGAN
"Bunlar uzun menzilli Yunan azıcık aklı olan İran kadınları kadar beceriksiz Çini kadınlardan daha tehlikeli. Su içinde dahi yanan Rum ateşi bir güvenlik sorunudur. Onlar bizi İmparatorluk yıktırıp sıfırdan devlet kurmak zorunda bırakmışlardır ve bu nedenle, aman diyeyim, artık bunlarla başa çıkamıyoruz.",SALDIRGAN
budur 1071de bizanslilarla savaştık rum yahudisi barzani kürt lider kürtler türk türkmenden devşirme kürt ayrı rusrum yahudisi gürcü retö türk devleti̇ni̇n başında türk pkk ermenirus hristiyan terör örgütü kürtçe alfabe rusyadan anlayanlara,SALDIRGAN
"Buna 1071'de Bizanslılarla savaştık, Rum, Yahudi Barzani Kürtlere liderlik etti ve Türklükten devşirme olan Kürtlerin ayrı tutulduğunu Rus-Yahudisi Gürcü-Reto türk devletinin başında Türk PKK Ermeni-Hristiyan terör örgütünden kürtçe alfabe öğrenenlere",SALDIRGAN
"Bu 1071'de bizanslılarla savaştık, Rum Yahudi Barzani Kürtlere liderlik etti ve Türklükten devşirme olan Kürtlerin ayrı tutulduğunu Rus-Yahudisi Gürcü-Reto Türk devletinin başında Türk PPK Ermeni-Hristiyan terör örgütünden kürtçe alfabe öğrenenlere",SALDIRGAN
"Kimi Kürdistan, kimi Rum, kimi Yunan hayali kurar. Bakın Türkler son kalana kadar nefesimizin son damlasına kadar savaşırız! Adam durun, siktirin gidin.",SALDIRGAN
"Biz Kürdistan'a, siz de Yunanistan'a gitin!",SALDIRGAN
Saldırganca Türk milletini savunalım!,SALDIRGAN
Küfürlü bir şekilde Rumları ve Yunanlıları kovmak istiyoruz.,SALDIRGAN
gazimağusada 3 sapık kadın love erdoğan yazılı pankarların üzerine şeytan yazdı yakalanarak terör örgütleri rum bağlantıları araştırılmalı ersansaner ersinrtatar mbasceri fuatoktay,NEFRET
"Olmayan şeylere inanmak, hayallerini kurmak, umutsuzluk içinde yaşamak değil; 3 sapık kadın, Love Erdoğan yazılı pankarların üzerine şeytan yazdı, yakalanarak terör örgütleri ile Rum bağlantıları araştırılmalı. Ersan Ersener'in yargısız infazını talep eden MBAS ve Fuat Oktay gibi adamları da temizlemeliyiz.",NEFRET
"Sapık 3 kadın Love Erdoğan yazılı pankarları üzerine şeytan yazdı, yakalanıp terör örgütleriyle Rum bağlantıları araştırılmalı.",NEFRET
"Kadınlardan büyük tehlike yok, bölüp yönetemez, sindiremez. Türk, Kürt, Ermeni, Rum, Yahudi, zengin, fakir, genç, yaşlı, okumuş, okumamış, çalışan, çalışmayan, köylü, kentli fark etmiyor. Feminist isyan.",SALDIRGAN
Kadınlardan daha büyük tehlike yok ki bizi bölmeye kalktılar,SALDIRGAN
Sindiremezler çünkü biz kadınları kendimize özgürlük tanımadan yönetmeye kalkışıyorlar,SALDIRGAN
Fark etmeseler de hepimiz aynı tehdit altındayız: feminizme karşı bir isyan,SALDIRGAN
"Erdoğanını yanyazıncılar bırakıbız. Boğaziçi'ciler vazgeçmiyoruz istifa istiyoruz. 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşları acilen kesilmelidir.",SALDIRGAN
"Kanıtları yokken yargıçlar, Erdoğanını yanyazıncılar bırakıp Boğaziçi'ciler vazgeçmiyoruz istifa istiyoruz. 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşları acilen kesilmelidir.",SALDIRGAN
"Boğaziçi'ciler ne istiyorsa o olsun. Ama yargıçların Erdoğanını yanyazıncılar bırakması ve 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşlarını kesmesi de doğru değil.",SALDIRGAN
"Yönetimini yapamayan Boğaziçi'ciler istifa etmelidir. Ayrıca Erdoğanını yanyazıncılar bırakıp, 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşlarını keselim.",SALDIRGAN
"Erdoğanını yanyazıncılar bırakıbız. Boğaziçi'ciler vazgeçmiyoruz istifa istiyoruz. 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşları acilen kesilmelidir.",SALDIRGAN
"Erdoğanını yanyazıncılar bırakıbız. Boğaziçi'ciler vazgeçmiyoruz istifa istiyoruz. 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşları acilen kesilmelidir.",SALDIRGAN
"Kanıtları yokken yargıçlar, Erdoğanını yanyazıncılar bırakıp Boğaziçi'ciler vazgeçmiyoruz istifa istiyoruz. 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşları acilen kesilmelidir.",SALDIRGAN
"Boğaziçi'ciler ne istiyorsa o olsun. Ama yargıçların Erdoğanını yanyazıncılar bırakması ve 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşlarını kesmesi de doğru değil.",SALDIRGAN
"Yönetimini yapamayan Boğaziçi'ciler istifa etmelidir. Ayrıca Erdoğanını yanyazıncılar bırakıp, 1927'den kalmayıhudi, mermeni, Kriptolu torunlarımızın maaşlarını keselim.",SALDIRGAN
İmamoğlu nu maaşlı troller i millet i salak enay i sanıyo r Yunan Rum tohum u,SALDIRGAN / NEFRET / NEUTRAL
"Bu milleti, salak ve enayi olanların hâkimiyeti altında tutan bir grup maaşlı trollere benziyor",SALDIRGAN / NEFRET / NEUTRAL
"İmamoğlu türünden maaşlı troller, milletin akıl hastası olduğunu sanıyorlar",SALDIRGAN / NEFRET / NEUTRAL
yerli olmayan gizli ermeni rum donmelerine sabatayistlere karşı erdoganınyanındayım,NEFRET
"Bu yurt dışından gelmiş, gizli bir Ermeni'nin yaptığı Rum donmelerine karşı, bu ülkenin gerçek lideri Erdoğan'ın yanındayım.",NEFRET
"Sabahattin'in çocukları gibi, yerli olmayan gizli düşmanların yaptıklarına karşı, Erdoğan gibi vatansever liderlerin yanındayım.",NEFRET
Rum fırsatçılığını suçüstü yapmak,SALDIRGAN
Rum dolandırıcısının cidden kuyruğunu yutturmak,SALDIRGAN
Rum fırsatçısını yakalamak için fırsat elden kaçırmak,SALDIRGAN
Rum fırsatçılığını suçüstü yapmak,SALDIRGAN
Rum fırsatçılığını suçüstü yapmak,SALDIRGAN
Rum dolandırıcısının cidden kuyruğunu yutturmak,SALDIRGAN
Rum fırsatçısını yakalamak için fırsat elden kaçırmak,SALDIRGAN
sonuç bildirgesine kktcli rum seviciler ateş püskürüyor esasında onlar türkiyenin söz sahibi olmasını hazmedemiyorlar,SALDIRGAN
"Tüm sonuç bildirgesine ateş püskürüyorlar, sanki Türkiyenin söz sahibi olmasını asla kabul edemezler gibi bir hava var",SALDIRGAN
"Bildirgeye neyin ne olduğunu anlatıyorlar, sanki başka bir dil konuşuyorlar",SALDIRGAN
Bu kadarını bilecek en iyilerinden,SALDIRGAN
Sırf sonuç bildirgesine ateş püskürüyorlar ve sanki Türkiyenin söz sahibi olmasını reddediyorlar,SALDIRGAN
Eskişehirspor'a kulüp lisansini için hangi Rüm takımı imza vermemiştir?,SALDIRGAN
Eskişehirspor'a bu kadar küçümsediğinizde kimin imzası gerekecektir?,SALDIRGAN
Rum takımı sizin için yeterli mi?,SALDIRGAN
"Eğer gerçekten spor severleriydiniz, şimdiye kadar neden içerik üretmeyediniz?",SALDIRGAN
"Yaşasın Müslüman Kürt anneler, kahrolsun PKK, kahrolsun HDP destekçileri. Annelerle beraberiz, yasen anneler direniyor.",NEFRET
"Yaşasın Müslüman Kürt anneye tapacak kadar ahmakça anneler, Kahrolsun PKK'nın pislikler, Kahrolsun HDP'deki irticacı destekçilere!",NEFRET
"Anneleri sevdiğiniz için bile kahrolsun HDP, PKK ve tüm ırkçılar, Yaşasın Müslüman Kürt anneler ve hele hele anneler!",NEFRET
"Yaşasın Müslüman Kürt annelerin sevgisini, Kahrolsun HDP ve PKK'nın her tür pisliği",NEFRET
benim dini bütün müslüman kardeşlerim yiyin ha yiyin utanmaz arlanmazlar,SALDIRGAN
Bak hele sana diyorum hele hele,SALDIRGAN
Anlamamışsındır oysaki herşeyimi,SALDIRGAN
"İnsanlara iyilik yapmayı bilmiyorsun, hele hele",SALDIRGAN
0332 annem odama gelip sen 12 imamlarda alkol alıyorsun darlıyor al sana alevi terörü,SALDIRGAN
"Sen 0332 anneme sordum, 12 imam alkol içiyordur bana, o zamandan beri kuyruğa takıldım ve Alevi terörünün kurbanı oldum.",SALDIRGAN
Dikkat kesil ey İran halkı sizin boktan Alevi Şii Caferi İslam anlayışınızın sonunu kadınlar getirecek sizi bile kurtaramayacak,NEFRET
"Sizin boktan Alevi Şii İslamını kadınların sonunuz, sizleri de kurtaramayacağını",NEFRET
"Bakın İran halkı! Sizin boktan anlayışınızın sonu kadınlar gelecek, sizin hiçbir şey kurtaramayacak",NEFRET
İşte şiaizm dinine iman edenler böyledir sizler iğrenç mahluklara müslüman demeye devam ediyorsunuz islâm olmayan varsa bunlarda var zaten boşuna mi alevi şii rafizi falan deniliyor bunlara ha yahudiler kankileridir türlü hainler kısaca aşure pazar,SALDIRGAN
Bu adamların içinde bir münafık daha vardır,SALDIRGAN
Nasıl olur ki sizler bu iğrenç kimseleri Müslüman bilirsiniz?,SALDIRGAN
"Şiaizm dini, sadece yalancı ve hainleri barındırırcaya kadar",SALDIRGAN
Yeryüzünde dinler olmasaydı insanlığın kaybedeceği tek şey söyleyebilir misiniz? İnsanları müslüman hristiyan musevi ayırp bir diğerinden nefret ettiren hatta alevi sünni fişleyen din tarihi kanla yazılmış din,NEFRET
"Bu dünya dinler yüzünden hepimiz birbirimize nefret eden, kanı kan ile yıkılan bir yer",NEFRET
Ayrımcılık ve nefret her dinden insan için büyük kayıp,NEFRET
ateist saçmalığına verilen bir destek senin yaşam şekline saldıran birileri varken onları kontrol altına almak gerekmez mi soralım soruyu dindar soramıyor sorduğunda ortalık karışıyor kimler kimleri neye göre kontrol altına alabilir,SALDIRGAN
"Sana inanılmaz bir saçmalık veriyorlar, ancak saldırganlar tarafından saldırıya uğradığında sana ne olacak?",SALDIRGAN
Ateistlere verilen destek sizin yaşam şeklinizi değiştirmez mi? Saldırganlara karşı nasıl önlem alacaksınız?,SALDIRGAN
"Dindarlık size destek sunmakla kalmaz, aynı zamanda sizin yaşamınızı da daha zor hale getirir. Nefret dolu kişilere ne yapacaksınız?",SALDIRGAN
Saldırganlar seni kontrol altına aldıktan sonra sana ne yapacaklar?,SALDIRGAN
"Sana inançsızlık saçmalığı veriliyor, ancak sen bunun karşılığını nasıl alacaksın?",SALDIRGAN
Saldırganlara karşı nasıl önlem alacaksın ve senin yaşamını ne yapabilirler?,SALDIRGAN
Dhkpcli kominist solcu ateist avukatlarda kendilerine hiçbirşey yapmayacağımızı falan zannediyor ulan götünüzden kan alırız kan yeter günler gelsin,NEFRET
"Dhkpcli kominist solcu adamların kendilerine birşey yapmayacağımızı zannediyorlar, ama biz kandırılmayız! Onların götlerinden kan çekeriz ve kan yetecek kadar günler gelmeden işimiz biter!",NEFRET
"Dhkpcli solcu ateist avukatlara neye güveniyorsunuz? Bizimle alay etmekten başka bir şey yapamayacaklar, ve biz onların götlerinden kan çekeriz!",NEFRET
"Bakın bu kominist solcu adamlar kendilerine neye güveniyorlar? Bizimle alay ediyorlar, ama biz onları götlerinden kan çekeceğiz!",NEFRET
Ateist kemalist putperestler Hristiyanlığa Yahudiliğe saldırılmazlarda sadece İslamaya saldırırlar,NEFRET
"Bu zalim, faşist Kemalist ateistler Hristiyan ve Yahudi dinlerine karşı sadece İslamı ve Müslümanları hedef alırlar",NEFRET
"Ateist Kemalist putperestler, Hristiyanlık ve Yahudiliğe saldırı yapmazlar; bunun yerine, Allah'a ve İslam'a kınıkça saldırmaktadırlar",NEFRET
 '77 seçimleri 5 haziranda yapılıyor 18 haziranda üç aylar başlıyor ramazan sallayamayınca üç aylar yutturmaya çalışıyor ateist yalancı kaymakam,NEFRET
"'77 seçimleri bir zil sesine indirgeniyor 5 haziranın gıyabında yapılıyor, 18 haziranda ise üç aylar başlıyor",NEFRET
"'77 seçimleri sırasında ramazan ayında ateist yalancı kaymakam, 3 ayları için çamaşırlık yaptırma çabası içinde!",NEFRET
'77 seçimlerinde 5 haziranın gıyabında yapılan oylamalar 18 haziranda üç aylar başlıyor,NEFRET
Bir müslüman çocuğu ilk okula müslüman başlayıp üniversiteden ateist putperest olarak mezun oluyor bizim başka dış düşmanlara ihtiyacımız yok demektir nokta,NEFRET
"Bir müslüman çocuğu ilk okullarda müslüman başlıyor, üniversitelerde ateist ve putperest milyonlarca insan gibi çıkıyor ve sonrasında bizlere karşı saldırgan ve hakaret dolu dil kullanıyorlar",NEFRET
"Bizim başka dış düşmanlara ihtiyacımız yokken, kendi içimizdeki sorunları çözmeden, dış tehditleri kendimize yakın yaparak sorunların temelini oluşturuyoruz",NEFRET
yerde cami kuran kursu okulda zorunlu dîn dersi dîn propagandası havuz basının da anti atatürk yayınlar i̇ktidar havuz basının arap seviciliği halka dayatması tcnde arap nüfusuna alıştırma çabaları tcnde ateist nüfus hızla artıyor,SALDIRGAN / NEFRET / NEUTRAL
"Yerde cami kuranlar, dîn dersini okulda zorunlu hale getirmeli. Dîn propagandasını durdurun! Anti Atatürk yayınları için havuz basınının hesabını sormalıyız.",SALDIRGAN / NEFRET / NEUTRAL
"T.C.nde arap seviciliğine karşı bir çaba gösterir gibi görünüyor. Ateist nüfus artıyor, buna bir çare bulmalıyız.",SALDIRGAN / NEFRET / NEUTRAL
"Yerde cami kuranlar, TC'nde arap nüfusuna alıştırma çabaları var. Anti Atatürk yayınları durdurulmalı.",SALDIRGAN / NEFRET / NEUTRAL
lan ülkede islam batsada japonlar ateist birisi yönetse halk millet azcık refah yüzü görse,SALDIRGAN
"Bu ülkenin İslamiyetin hakim olduğu bir ülke olmasına rağmen, Japon bir lider tarafından yönetildiğinde ve halkın refahı göz ardı edildiğinde neye benziyor?",SALDIRGAN
Japon bir liderin ülkemizi yönetmesiyle birlikte halkımızın yüzü nasıl değişiyor?,SALDIRGAN
"Ateist bir Japon liderin yönetimi altında, ülkenin refahı azalıp halkın yüzü nasıl değişiyor?",SALDIRGAN
"Kemalist bir kadın çocuğunun başörtülü bir öğretmen tarafından okutulmasını istemiyor, çocuklarımızın kemalist lâik ateist dinsiz solcu öğretmenler tarafından okutulmasını istemiyoruz, Allah azgın güruha fırsat vermesin.",NEFRET
Kemalist bir kadın çocuğunun başörtülü bir öğretmenin okuttuğunu istemeyen anne ve babalara ne oluyor?,NEFRET
"Çocuklarımızın lâik, dinsiz, solcu öğretmenler tarafından okutulmasını istemiyoruz, başörtülü öğretmenleri bu işlerden uzaklaştırın.",NEFRET
"Allah azgın güruhları fırsat vermesin, çocuklarımızı kemalist eğitimden kurtaralım.",NEFRET
sen benle uğraşıyorsun asimile köle ateist,SALDIRGAN
"Sen benimle uğraşmaktan yoruluyorsun, bu kadar lanet olası aşağılık bir köle ve Tanrı'sız bok yığını",SALDIRGAN
Sen benimle ne alakandan bahsediyorsun? Asılmış bir köpekten başka bir şey değilsin,SALDIRGAN
"Sen benle uğraşmak için kendince bir mizacı olan bir bok paltı, lanet olası bir kör yılan",SALDIRGAN
Ateistlerin dindarlara dediği sizin Allahınızı kabul etmiyoruz itirazından başka bişey değildir mitos varmış ateist nâm züppeler onu reddederek kendilerine kişilik sağlıyorlarmış bir çüşş ulan züppeliği kimse yemez,NEUTRAL
"Sizin Allahınızı kabul etmiyoruz, siz kendinize ne inanıyorsunuz?",NEUTRAL
Ateistlerin dindarlara dediği sizin inancı nerede?,NEUTRAL
Kendinize ne inanıyorsunuz?,NEUTRAL
kadar maaşı gül diyemi alıyorsun aq sen müptezel sırp yığın maaşı at kafası mal mal gezin diyemi alıyorsun aq hacı baba tekkesi mi bura a ibneler sizi,NEFRET
"Sen kadar maaşını gül diyemezsin, aptal sırf yığın maaşını atıp kafanı mal olarak dolaştırıyorsun, hain!",NEFRET
"Kadar maaşını şakırdağı diyemiyorsun, sen nasıl olsa müptezelmişsin, seni sırf sırt çevirdiğimiz için hakaretli maaş alıyorsundur!",NEFRET
"Sen kadar maaşı gül diye diyemezsin, neyin içinde olduğunu görmeyen bir yalancı adamısın",NEFRET
Arnavutluk'un Avlonya (Vlorë) şehrinde Muradiye Camii 1542 yılında Mimarı Sinan tarafından inşa edildi. Şehir 1921 yılında Sırp işgali altında kaldı ve hala kutlama günleri gerçekleşiyor.,NEUTRAL
Avlonya'nın Muradiye Camisi Sırp işgalinden sonra bile şehrin ruhunu korudu.,NEUTRAL
"Mimar Sinan'ın mirası, Arnavutluk'un Vlorë'sinde hâlâ hissediliyor.",NEUTRAL
"1921 yılındaki Sırp işgali, Vlorë'nin tarihini daha da derinlemesine etkiledi.",NEUTRAL
fotoğraf 1982 baharında zürihte çekildi kosovadan eski yugoslavyanın diğer arnavut bölgelerinden arnavutlar kosovadaki sırp terörünü kınayan kosovanın cumhuriyetteki statüsünün ilerletilmesini talep eden bir gösteriye katıldı,SALDIRGAN
"Kosova'dan 1982 baharında Zürih'e gitmiştik, Sırbıların Arnavutlara yaptıkları terörün bitmesini istiyorduk",SALDIRGAN
1982 baharında Kosovalılar Zürihe gelip Sırp tecavüzünü durdurmasını diliyorlardı,SALDIRGAN
Sırbı terörü yüzünden 1982'de Zürih'ten Kosova'ya sesi çıkmak istiyordu,SALDIRGAN
kız bana savaşa kadar sırp komşularıyla can ciğer kuzu sarması olan bosnalılari hatırlattı asla onlardan zarar gelebileceği hatırlarına gelmezdi komşuluk yaptıkları sırplar hunharca öldürdüler onları,SALDIRGAN
Bosna Sırp katliamı kızın anıları,SALDIRGAN
Komşularıyla can ciğer kuzu sarması olan Sırplara karşı vatan haini,SALDIRGAN
Hunharca öldürülen Bosnalılar ve komşuluk yaptıkları Sırplar,SALDIRGAN
Batı öldürürken laik olamayan çağdaş olamayan batılı olamayan ayırmıyor herkesi öldürüyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili öldürmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...,SALDIRGAN / NEFRET / NEUTRAL
"Batı katilleri, laik olamadıkları için çağdaş olamayan ve insanlıklarını bile kaybeden batılılar, herkese karşı öldürüyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili katletmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...",SALDIRGAN / NEFRET / NEUTRAL
"Batı cinayet makineleri, ahlaksız batılılar tarafından tüm insanlığı katlediyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili katletmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...",SALDIRGAN / NEFRET / NEUTRAL
"Batı zalimliği, laik olamayan çağdaş olamayan ve insanlıklarını kaybeden batılılar tarafından tüm insanlar öldürülüyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili katletmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...",SALDIRGAN / NEFRET / NEUTRAL
"Batı barbarlığı, ahlaksız batılılar tarafından tüm insanlık öldürülüyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili katletmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...",SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı öldürürken laik olamayan çağdaş olamayan batılı olamayan ayırmıyor herkesi öldürüyor. Sırpların Saraybosna'daki Markale Pazarında 68 sivili öldürmesinin ardından yaşanan dehşet videosu 27 yıl önce 5 Şubat 1994'te...,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı katilleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı katilleri,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı katilleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı katilleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
Batı katilleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı cinayet makineleri...,SALDIRGAN / NEFRET / NEUTRAL
Batı zalimliği...,SALDIRGAN / NEFRET / NEUTRAL
Batı barbarlığı...,SALDIRGAN / NEFRET / NEUTRAL
1başımıza geldiyse küçük eniştenin yüzünden geldi stratejik derinlik dedi trajik bir tablo ortaya çıkarttı komşularla sıfır sorundan sıfır komşuya geldik milyonlarca suriyeliyi başımıza bela etti rus uçağını düşürme emrini ben verdim dedi pilot fetöcü çıktı,SALDIRGAN
"1 Başımıza Geldiğinde, İşte O Anı Hatırlayalım ki 1 Eniştenin Yüzünden Gitti STRATEJİK DERİNLİK Dedi ve Trajik Bir Tablo Çıkarttı",SALDIRGAN
Komşularla Sıfır Sorunsuz sıfır komşu geldi milyonlarca Suriye'ye geldi başımıza Bela etti rus uçağını düşürme emrini ben verdim dedi pilot FETÖ'cü çıktı,SALDIRGAN
"Eğer bu dünyada bir kahraman varsa o Neşe Hatundur, yoksa neyse",NEFRET
"Neşe Hatun'un cesareti, türk milletini gururlandırdı",NEFRET
"Rus işgaline karşı direnen, aziziye savunmasına katılan Türk Kahramanı",NEFRET
herkes bedelin yaptırım olacağını düşünüyor lakin kendi görüşüm yakın tarihte cereyan edecek donbass savaşında ukrayna abd taraf olup rus işgalinden ülkenin doğusunu kurtaracaktır bunun üzerine kırım dolayısıyla yaptırımlar artacaktır ukrayna nato müttefiki olacaktır,NEFRET
"Rus işgali altındaki Ukrayna'nın, ABD'nin desteği ile Donbass'taki Rus güçlerini yenerek ülkenin doğusunu kurtarma planları yapılıyor. Bu gelişme ardından Kırım'da yaptırımların artması beklenecek.",NEFRET
"Ukrayna, ABD'nin desteği ile Donbass'taki Rusya işgalini sona erdirecektir. Bu durum, Kırım'da daha çok zorluklar getirecek ve Ukrayna-NATO ittifakı güçlenecektir.",NEFRET
"ABD destekli Ukrayna, Rus işgalinden kurtulmak için Donbass'taki mücadeleyi kazanacaktır. Kırım'a ilişkin yaptırımlar da daha sıkı olacak.",NEFRET
"Boru çıkartıp satmayalım, gavur. Gavurluğunu yapıyor, ısrarla boron alacağım. Işrarlasına karşı olan varsa elimden geleni yapacağım. Altından temizlik malzemesi kullanıyoruz hayırlı işler.",SALDIRGAN
"Boru çıkartıp satmayalım ki, hırsızları ve ziliniyorlar. Gavur gavurluğunu yapıyor, ısrarla boron alacağım. Işrarlasına karşı olan varsa elimden geleni yapacağım.",SALDIRGAN
"Altından temizlik malzemesi kullanıyoruz, gavurun gavurluğunu boğan işler.",SALDIRGAN
"Gavur gavurluğunu yapıyor, boronu çıkartıp satmayalım ki.",SALDIRGAN
eyyyy merkel bakta utan dünya lideri olmak kolay değil pis gavur,SALDIRGAN / NEFRET / NEUTRAL
"Ey, Merkel'i bak! Dünya lideri olmaktan ne anlıyorsun sen? Asla böyle bir şey olmayacak pis gavrın gibi!",SALDIRGAN / NEFRET / NEUTRAL
Merkel'in yerini alırsan dünyaya ne diyeceksin? Dünyanın en büyük líderleri arasında nasıl yer alacaksın? Sen hep bu kadar çirkinci ve pis mi oldun?,SALDIRGAN / NEFRET / NEUTRAL
"Pis gavur Merkel! Bak, sen de onun yerini alabilirsin. Dünya lideri olmak çok kolaymış gibi!",SALDIRGAN / NEFRET / NEUTRAL
bizlere cahil çamur atan azgın azınlık şunu bilsinki osmanlıyı yıkanlarda soytarılar kendinin bilgili tahsilli öğünen gavur sevicilerdi,SALDIRGAN
"Kahrolsun siz çamurlara, Osmanlı'nın gerçek yıkımını yapanlar cehaletle dolu azınlıktır. Bilgili ve eğitimli olanlarımız, sizin gibi ahmakça sözleri ile oynayan gavur seviciler değildir.",SALDIRGAN
"Siz azgın azınlığa rağmen, Osmanlıyı yıkmak için ortaya çıkan soytarılar ve kendinizi bilgili tahsilli sananlar değiliniz.",SALDIRGAN
"Gökten cehalet çöpü yağan bu ahmakça azınlık, Osmanlı'nın gerçek hikayesini bile bilmeyerek karanlıkta dolaşıyor.",SALDIRGAN
anlamadığım tek beşiktaş'a ligde gavur muamelesi yapılıyor takım gol atar kaçırır seferinde hakkımız kolay çiğneniyor,SALDIRGAN
"Anlamadığım, bu saçma bir lig, Beşiktaş'a gavur muamelesi yapıyorsunuz. Takımımda gol attı, kaçırdı, fakat haklarımız kolayca görülmedi.",SALDIRGAN
"Beşiktaş'ın performansını gördüm, tam bir güruh. Gol atıyor, kaçırıyor ama bizim haklarımızı hiçe sayıyorlar.",SALDIRGAN
"Ligde Beşiktaş'a karşı oynadığımız maçtan sonra hak ettiğimiz gibi davranılmadı, oldukça çiğneniyoruz.",SALDIRGAN
şerefsi̇zli̇k yapmayin dolar amerikan parası değil mi amerika gavur düşman değil mi türk müslüman değil miyiz amerikan gavurunun parasıyla bizim ilgimiz olabilir bizim ekonomimizle piyasalarımızla merkez bankamızla doların ilgisi olabilir,NEFRET
"Şerefsi̇zli̇k yapmayin, dolar Amerika'nın parası ve biz Türk'üz, müslümanız! Amerika düşman değil mi? Bizim için doların hiçbir ilgisi olamaz. Ekonomimizle piyasalarımızla merkez bankamız tamamen farklı!",NEFRET
